mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep    1/500] FAIL | dec=100 R= +65.09 gdist=  2.2 | eps=0.9802 buf=   100 upd=   100 | 12.5s
[ep    2/500] FAIL | dec=100 R= +53.93 gdist= 18.0 | eps=0.9608 buf=   200 upd=   200 | 6.4s
[ep    3/500] FAIL | dec=100 R= +92.73 gdist= 17.2 | eps=0.9418 buf=   300 upd=   300 | 8.0s
[ep    4/500] OK   | dec= 82 R=+142.52 gdist=  2.0 | eps=0.9264 buf=   382 upd=   382 | 6.7s
[ep    5/500] OK   | dec= 75 R= -32.28 gdist=  1.9 | eps=0.9126 buf=   457 upd=   457 | 6.4s
[ep    6/500] FAIL | dec=100 R=+110.21 gdist= 14.6 | eps=0.8946 buf=   557 upd=   557 | 8.4s
[ep    7/500] FAIL | dec=100 R=+106.70 gdist= 14.4 | eps=0.8769 buf=   657 upd=   657 | 8.4s
[ep    8/500] OK   | dec= 65 R= +35.47 gdist=  1.9 | eps=0.8655 buf=   722 upd=   722 | 5.4s
[ep    9/500] OK   | dec= 56 R= +38.95 gdist=  1.9 | eps=0.8559 buf=   778 upd=   778 | 4.7s
[ep   10/500] FAIL | dec=100 R= +35.23 gdist= 21.2 | eps=0.8389 buf=   878 upd=   878 | 8.3s
[ep   11/500] OK   | dec= 74 R= +30.89 gdist=  2.0 | eps=0.8266 buf=   952 upd=   952 | 6.3s
[ep   12/500] FAIL | dec=100 R= +61.13 gdist= 11.0 | eps=0.8102 buf=  1052 upd=  1052 | 8.4s
[ep   13/500] FAIL | dec=100 R=  +8.42 gdist= 15.2 | eps=0.7942 buf=  1152 upd=  1152 | 8.5s
[ep   14/500] FAIL | dec=100 R=+110.68 gdist= 17.9 | eps=0.7785 buf=  1252 upd=  1252 | 8.4s
[ep   15/500] OK   | dec= 73 R= +30.77 gdist=  2.0 | eps=0.7672 buf=  1325 upd=  1325 | 6.1s
[ep   16/500] OK   | dec= 74 R= +78.94 gdist=  1.9 | eps=0.7559 buf=  1399 upd=  1399 | 6.2s
[ep   17/500] OK   | dec= 46 R=+148.08 gdist=  1.9 | eps=0.7490 buf=  1445 upd=  1445 | 3.5s
[ep   18/500] FAIL | dec=100 R=  +0.68 gdist= 15.2 | eps=0.7342 buf=  1545 upd=  1545 | 8.5s
[ep   19/500] FAIL | dec=100 R=  -0.70 gdist= 18.7 | eps=0.7196 buf=  1645 upd=  1645 | 8.5s
[ep   20/500] OK   | dec= 90 R=+167.93 gdist=  1.8 | eps=0.7068 buf=  1735 upd=  1735 | 7.2s
